"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"81","68.95101441018177","5.763293002406249","0","0","0.08810000000000007","0.12560000000000004","0.0506","1560","0.002388907887217991","0","0.002388907887217991","0.002388907887217991","81_82:0.010282754367336416;81_80:0.008048063011847906;81_76:0.006647872445790154","81_82:68;81_80:68;81_76:68","true"
"82","74.08251093832426","32.08365085465192","0","0","0.018199999999999994","0.022399999999999975","0.014","1560","0.00024544182199395077","0","0.00024544182199395077","0.00024544182199395077","82_81:0.010282754367336416;82_83:0.010243595463579058","82_81:68;82_83:68","true"
"83","145.1618389765079","130.87476776888766","0","0","0.05909999999999993","0.0656","0.05259999999999998","1560","0.00020973062543928973","0","0.00020973062543928973","0.00020973062543928973","83_96:0.002335387406460415;83_84:0.0020239455302198672;83_82:0.010243595463579058","83_96:68;83_84:68;83_82:68","true"
"84","169.7279117129268","51.36465814381744","0","0","0.006000000000000005","0.009000000000000008","0.003","1560","0.0003280230611871869","0","0.0003280230611871869","0.0003280230611871869","84_85:0.0017738051344423356;84_83:0.0020239455302198672","84_85:68;84_83:68","true"
"85","135.35975685867064","31.723305931344235","0","0","0.007400000000000073","0.012","0.0028000000000000247","1560","0.0007916722357845228","0","0.0007916722357845228","0.0007916722357845228","85_86:0.0035816034758869297;85_84:0.0017738051344423356;85_77:0.0028426758796775142","85_86:68;85_84:68;85_77:68","true"
"86","183.46041820233015","86.01804245687114","0","0","0.014800000000000035","0.0178","0.011800000000000033","1560","0.00026280690365984983","0","0.00026280690365984983","0.00026280690365984983","86_87:0.002953713013805509;86_85:0.0035816034758869297","86_87:68;86_85:68","true"
"87","77.09353748064366","185.9608628041008","0","0","0.04590000000000005","0.05279999999999996","0.039","1560","0.00022726823648803866","0","0.00022726823648803866","0.00022726823648803866","87_86:0.002953713013805509;87_97:0.004497975311094693;87_88:0.002865390713076149","87_86:68;87_97:68;87_88:68","true"
"88","112.99072494093387","156.04821981270663","0","0","0.004899999999999904","0.008399999999999963","0.0014","1560","0.0003331739867185423","0","0.0003331739867185423","0.0003331739867185423","88_89:0.0031181117616622123;88_87:0.002865390713076149","88_89:68;88_87:68","true"
"89","106.0133535861955","101.78834880212888","0","0","0.032200000000000006","0.0382","0.0262","1560","0.00023559842824051868","0","0.00023559842824051868","0.00023559842824051868","89_90:0.004788915767180657;89_88:0.0031181117616622123;89_78:0.004326647687379115","89_90:68;89_88:68;89_78:68","true"
"90","118.26096519857613","76.61718934997089","0","0","0.01429999999999998","0.0148","0.013800000000000034","1560","0.00028057736462415916","0","0.00028057736462415916","0.00028057736462415916","90_91:0.005643234303859851;90_89:0.004788915767180657","90_91:68;90_89:68","true"
"91","187.24792255814964","16.048372570387514","0","0","0.02090000000000003","0.020000000000000018","0.0218","1560","0.0002557708962698585","0","0.0002557708962698585","0.0002557708962698585","91_90:0.005643234303859851;91_92:0.0026240657008102797;91_98:0.00222929699919297","91_90:68;91_92:68;91_98:68","true"
"92","148.6231353700374","77.96489210114441","0","0","0.006199999999999983","0.01100000000000001","0.0014","1560","0.0002786946164048137","0","0.0002786946164048137","0.0002786946164048137","92_93:0.0019075035838861665;92_91:0.0026240657008102797","92_93:68;92_91:68","true"
"93","143.88001226186557","117.2236921865823","0","0","0.21040000000000003","0.20940000000000003","0.2114","1560","0.0006181046679213839","0","0.0006181046679213839","0.0006181046679213839","93_94:0.005975865129674268;93_92:0.0019075035838861665;93_79:0.004743199101283374","93_94:68;93_92:68;93_79:68","true"
"94","163.784106879824","12.09246140260625","0","0","0.01749999999999996","0.0226","0.012399999999999967","1560","0.0009645443907888875","0","0.0009645443907888875","0.0009645443907888875","94_95:0.005277654801642578;94_93:0.005975865129674268","94_95:68;94_93:68","true"
