epoch,step,train_loss
2,49,18.818565368652344
4,99,5.7460479736328125
7,149,4.279261112213135
9,199,8.506160736083984
12,249,5.833313941955566
14,299,6.81570291519165
17,349,4.393611907958984
19,399,6.08369255065918
22,449,4.823534965515137
24,499,6.28195333480835
27,549,5.6635894775390625
29,599,6.273197650909424
32,649,5.714644432067871
34,699,5.728612899780273
37,749,5.057309627532959
39,799,4.900328636169434
42,849,5.957060813903809
44,899,5.11385440826416
47,949,5.2950825691223145
49,999,5.688640594482422
52,1049,5.7965617179870605
54,1099,5.449307441711426
57,1149,5.744563102722168
59,1199,6.294656753540039
62,1249,5.410492897033691
64,1299,5.567388534545898
67,1349,5.0304670333862305
69,1399,4.4721784591674805
72,1449,4.4296722412109375
74,1499,5.058987617492676
77,1549,7.273805618286133
79,1599,5.71619176864624
82,1649,5.399659156799316
84,1699,4.6324615478515625
87,1749,3.687411308288574
89,1799,5.4738311767578125
92,1849,4.00156307220459
94,1899,3.7571420669555664
97,1949,4.524714469909668
99,1999,5.177280426025391
102,2049,7.682514190673828
104,2099,5.904378890991211
107,2149,4.624676704406738
109,2199,4.36203670501709
112,2249,4.543778896331787
114,2299,3.817340135574341
117,2349,4.396422386169434
119,2399,3.832016944885254
122,2449,5.031249046325684
124,2499,9.364066123962402
127,2549,5.387027263641357
129,2599,5.313652992248535
132,2649,4.911725997924805
134,2699,5.001922130584717
137,2749,4.444035530090332
139,2799,5.043229579925537
142,2849,4.973934173583984
144,2899,4.403144836425781
147,2949,6.766777038574219
149,2999,5.16188907623291
152,3049,6.147369861602783
154,3099,5.259912967681885
157,3149,4.342718124389648
159,3199,4.40161657333374
162,3249,4.243291854858398
164,3299,4.3816728591918945
167,3349,5.037204742431641
169,3399,4.849466800689697
172,3449,4.1037797927856445
174,3499,5.030299186706543
177,3549,4.596059799194336
179,3599,4.108959197998047
182,3649,6.144883155822754
184,3699,4.268222808837891
187,3749,6.200392723083496
189,3799,4.724997520446777
192,3849,4.4768829345703125
194,3899,5.378924369812012
197,3949,6.109661102294922
199,3999,5.0281081199646
202,4049,3.8927717208862305
204,4099,6.4945197105407715
207,4149,4.660396099090576
209,4199,4.5219621658325195
212,4249,4.325338840484619
214,4299,4.286253929138184
217,4349,7.011622428894043
219,4399,4.017478942871094
222,4449,6.331384658813477
224,4499,4.413652420043945
227,4549,4.07285213470459
229,4599,4.305854797363281
232,4649,12.135826110839844
234,4699,4.908830165863037
237,4749,3.8736069202423096
239,4799,3.835709571838379
242,4849,3.6437292098999023
244,4899,7.06739616394043
247,4949,4.210076808929443
249,4999,4.209850311279297
252,5049,4.970921516418457
254,5099,5.718453407287598
257,5149,4.872944355010986
259,5199,5.310508728027344
262,5249,4.741142272949219
264,5299,4.229094505310059
267,5349,4.535622596740723
269,5399,4.330018043518066
272,5449,3.6322765350341797
274,5499,4.694940090179443
277,5549,4.5390849113464355
279,5599,4.095680236816406
282,5649,6.016757011413574
284,5699,4.934991836547852
287,5749,5.423420429229736
289,5799,6.050045967102051
292,5849,6.3864665031433105
294,5899,4.747337818145752
297,5949,3.7498364448547363
299,5999,6.85414457321167
