epoch,step,train_loss
2,49,154.38702392578125
4,99,1.5551812648773193
7,149,5.352552890777588
9,199,5.092243194580078
12,249,25.278976440429688
14,299,2.2474541664123535
17,349,18.263999938964844
19,399,389.8538513183594
22,449,9.450173377990723
24,499,5.253633499145508
27,549,8.474624633789062
29,599,2.965280294418335
32,649,2.4036576747894287
34,699,8.431716918945312
37,749,54.622833251953125
39,799,4.66656494140625
42,849,2.6736533641815186
44,899,2.6663105487823486
47,949,2.6191892623901367
49,999,2.767993927001953
52,1049,2.8372135162353516
54,1099,45.015838623046875
57,1149,4.943159580230713
59,1199,2.863696575164795
62,1249,3.326829195022583
64,1299,2.843017101287842
67,1349,11.608431816101074
69,1399,6.968801021575928
72,1449,206.482666015625
74,1499,2.990096092224121
77,1549,4.487588405609131
79,1599,188.2662811279297
82,1649,12.28232192993164
84,1699,2.991929531097412
87,1749,3.043308734893799
89,1799,35.33546447753906
92,1849,3.1343863010406494
94,1899,6.3327531814575195
97,1949,5.857019424438477
99,1999,5.879439353942871
102,2049,11.247241973876953
104,2099,5.655904293060303
107,2149,3.2314696311950684
109,2199,3.158812999725342
112,2249,9.38992691040039
114,2299,30.505830764770508
117,2349,3.1419472694396973
119,2399,3.4938535690307617
122,2449,8.916671752929688
124,2499,10.548067092895508
127,2549,9.152395248413086
129,2599,9.083576202392578
132,2649,3.3445987701416016
134,2699,8.907618522644043
137,2749,8.519864082336426
139,2799,3.3099074363708496
142,2849,27.40201187133789
144,2899,3.2653725147247314
147,2949,26.46268081665039
149,2999,4.386111259460449
152,3049,26.253305435180664
154,3099,4.337749481201172
157,3149,3.3648500442504883
159,3199,22.78387451171875
162,3249,24.775840759277344
164,3299,8.351106643676758
167,3349,9.2781343460083
169,3399,8.069857597351074
172,3449,21.773868560791016
174,3499,5.696630477905273
177,3549,8.023417472839355
179,3599,7.853492736816406
182,3649,4.381425857543945
184,3699,5.611702919006348
187,3749,4.544313907623291
189,3799,109.9959487915039
192,3849,7.7583112716674805
194,3899,3.470632553100586
197,3949,3.484506607055664
199,3999,3.68727970123291
202,4049,8.094686508178711
204,4099,8.805788040161133
207,4149,3.6614599227905273
209,4199,3.602950096130371
212,4249,3.6332764625549316
214,4299,3.612368583679199
217,4349,103.95005798339844
219,4399,3.5954222679138184
222,4449,3.6226019859313965
224,4499,5.169626235961914
227,4549,3.6765010356903076
229,4599,3.697871685028076
232,4649,20.41512680053711
234,4699,93.4725570678711
237,4749,3.7253928184509277
239,4799,93.76490783691406
242,4849,5.430953025817871
244,4899,3.7709145545959473
247,4949,5.516517639160156
249,4999,4.398245334625244
252,5049,17.066177368164062
254,5099,6.9709062576293945
257,5149,89.6023941040039
259,5199,4.483943939208984
262,5249,4.395275115966797
264,5299,7.016648292541504
267,5349,7.020159721374512
269,5399,3.844695568084717
272,5449,4.38234806060791
274,5499,7.003819465637207
277,5549,3.8610472679138184
279,5599,3.810490369796753
282,5649,7.051599502563477
284,5699,3.807082176208496
287,5749,4.4512739181518555
289,5799,3.8334710597991943
292,5849,15.6351318359375
294,5899,5.379203796386719
297,5949,77.40708923339844
